New (wrong) category,Sentence,Context type,,Context,Misclassified,Total,Proportion
0,Pershing married Helen,1,,1,218,814,0.267813268
0,Penndorf married Mary,1,,2,50,313,0.159744409
0,Elmo married Betty,1,,3,32,106,0.301886792
0,Anne married Donald,1,,4,63,129,0.488372093
0,Mina married Edward,1,,,,,
0,Allen married Louise,1,,,,,
0,Diana married Prince,1,,,,,
0,Marshall married Sarah,1,,,,,
0,Dreyer married Una,1,,,,,
0,John married Martha,1,,,,,
0,Greg married April,1,,,,,
0,Newsom married Kimberly,1,,,,,
0,Herman married Ida,1,,,,,
0,Remy married Bella,1,,,,,
0,Behrman married Julia,1,,,,,
0,Thomas married Jennie,1,,,,,
0,Montefiore married Judith,1,,,,,
0,Sharman married,3,,,,,
0,Tiepolo married,3,,,,,
0,Marx married,3,,,,,
0,Ted married,3,,,,,
0,Nick married,3,,,,,
0,George dates Evie,1,,,,,
0,George dates Allison,1,,,,,
0,Ned dates Rachel,1,,,,,
0,Gigi dated Joe,1,,,,,
0,Morris dated Brandy,1,,,,,
0,Lea dated Cory,1,,,,,
0,Marcum dated Jack,1,,,,,
0,Berry dated Chicago girl,1,,,,,
0,Henderson dated Marianne  ,1,,,,,
0,Leo dated Toni  ,1,,,,,
0,Brown dated Ronstadt  ,1,,,,,
0,Charlie dated Carole,1,,,,,
0,Grisales dated Ronaldo,1,,,,,
0,Ron dated Lavender,1,,,,,
0,MacDonald dated Stone,1,,,,,
0,Adam dated Zendaya,1,,,,,
0,We dated until June,4,,,,,
0,Crouch matched Koyiaki,1,,,,,
0,G matches C,1,,,,,
0,Hammel matches Harvey,1,,,,,
0,HLA matched BMT,1,,,,,
0,Decorist matched Kyla,1,,,,,
0,http://www.example.com/* matches http://www.example.com/,1,,,,,
0,"http://www.example.com/*?* matches http://www.example.com/users?_action=create ,",1,,,,,
0,Dreamweaver matches B2B,1,,,,,
0,Valdez matched Ruth,1,,,,,
0,Detwiler matched Keuchel,1,,,,,
1,Expectations for the sons in Death of a Salesman match each other,2,,,,,
0,Sirion resembled Alqualond,1,,,,,
0,Flass resembled Harvey,1,,,,,
0,Pawlenty resembled Barack,1,,,,,
0,DOXY resembled UT,1,,,,,
0,Belfast resembled West,1,,,,,
0,Malawi resembled Sparta,1,,,,,
0,Potter resembles James,1,,,,,
0,Deserian resembled Abydonian,1,,,,,
0,Jesus resembled God,1,,,,,
0,Ambrose resembled Vinod,1,,,,,
0,Joe resembled Dwayne,1,,,,,
0,She resembled a skunk,1,,,,,
0,Iqbal resembled Tagore,1,,,,,
0,Harry resembled James,1,,,,,
0,Cambodia resembled Thailand,1,,,,,
0,Beijing resembled Jakarta,1,,,,,
0,New Jersey resembled New York,1,,,,,
0,New Jersey resembled Virginia,1,,,,,
0,Holmes resembled Kennedy,1,,,,,
0,Zabrak resembled Humans,1,,,,,
0,The Assassins resembled Ching,1,,,,,
0,Karen resembled Sasami,1,,,,,
0,Diu resembled Davos,1,,,,,
0,Israel resembled SA,1,,,,,
0,Elizabeth meets New Zealand Rugby team,1,,,,,
0,Sai meets Akira,1,,,,,
0,Kapur met USC Provost Garrett and Dean Yortsos,1,,,,,
0,Jin meets Sun for the first time,1,,,,,
0,Woodward met Newman in 1953,1,,,,,
0,Europe meets Asia,1,,,,,
0,Minister meets Premier Wen,1,,,,,
0,Sam met Moat,1,,,,,
0,Versace meets H&M,1,,,,,
0,Postlethwaite met Patrick,1,,,,,
0,Matt met Jason,1,,,,,
0,Sanders met Sullivan,1,,,,,
0,Mahama met Indian Prime Minister,1,,,,,
0,Doc meets MC,1,,,,,
0,Taj met Yakzan,1,,,,,
0,Manjhi met Governor Tripathi,1,,,,,
0,Aliyeva met Alain Beretz,1,,,,,
0,John shared,3,,,,,
0,Neil shared,3,,,,,
0,Heidi shared,3,,,,,
0,Lara shared,3,,,,,
0,House combined with Nu,1,,,,,
0,Kiehne combined with Rainey,1,,,,,
0,Messi combined with Ronaldhino,1,,,,,
0,Jack and Jill combined,1,,,,,
0,Adele mixed with Bruno,1,,,,,
0,Superman mixed with Professor,1,,,,,
0,Shushkevich discussed with GAIN,1,,,,,
0,Fitzgerald discussed with Judge,1,,,,,
0,Hank discussed with Carol,1,,,,,
0,MG discussed with Elmar,1,,,,,
0,Entsch discussed with Peter,1,,,,,
0,Peter discussed with Jack,1,,,,,
0,Sarkozy discussed with President,1,,,,,
0,Weigensberg discussed with Founder,1,,,,,
0,Sibal discussed with Premier,1,,,,,
0,Grice discussed with Fisher,1,,,,,
0,Regulation discussed with John,1,,,,,
0,Brussels discussed with Georges,1,,,,,
0,Perry discussed with Herrscher,1,,,,,
0,Bahia discussed with Environmental,1,,,,,
0,Hazelwood discussed with Vice,1,,,,,
0,Walsh discussed with Denis,1,,,,,
0,Tim discussed,3,,,,,
0,Carlson discusses,3,,,,,
0,Richey discusses,3,,,,,
0,Kate discusses,3,,,,,
0,Corita discussed,3,,,,,
0,Neutelings and Riedijk alternated,4,,,,,
0,Wilson and Mahoney alternated,4,,,,,
0,Birdsong and Ballard alternated,4,,,,,
0,Bambao and Itsandra alternated,4,,,,,
0,Hargreaves and Lansdown alternated,4,,,,,
0,Keough and Lisa alternated,4,,,,,
0,Stephen and Rosemia alternated,4,,,,,
0,Papa and Grandmama alternated,4,,,,,
0,Herbert and Hamilton alternated,4,,,,,
0,Addison and Beazant alternated,4,,,,,
0,Omar negotiated with Karzai,1,,,,,
0,Chamberlain negotiated with Hitler,1,,,,,
1,Iran negotiated with Regan,1,,,,,
0,Louverture negotiates with Thomas,1,,,,,
0,Clinton negotiated with then-Afghan,1,,,,,
0,Pioneer negotiated with Caldwell,1,,,,,
0,Laughlin negotiated with Pacific Islander,1,,,,,
0,Aliyev negotiated with Surat,1,,,,,
0,SFOP negotiated with PG,1,,,,,
0,Shuvalov negotiated with Lawrence,1,,,,,
1,The Administration negotiated with Baucus,1,,,,,
0,Riccardo negotiated,3,,,,,
0,Warren negotiates,3,,,,,
0,Burrows negotiated,3,,,,,
0,Muallem argued with Ban,1,,,,,
0,Erekat argued with Kerry,1,,,,,
0,Zhirinovsky argued with Vladimir,1,,,,,
0,Ami argued with Minako,1,,,,,
0,Iram argued with Dalia,1,,,,,
0,Chilcot argued with Sir,1,,,,,
0,Rice argued with Kitzhaber,1,,,,,
0,Newton argued with Hooke,1,,,,,
0,Altieri argues,3,,,,,
0,Klein argues,3,,,,,
0,Demos argues,3,,,,,
