New (wrong) category,Sentence,Context,,Context,Misclassified,Total,Proportion
0,Groot rhymes with Boat,1,,1,284,814,0.348894349
0,Fn rhymes with Jake,1,,2,104,313,0.332268371
0,Yesha rhymes with Pesha,1,,3,41,106,0.386792453
0,Venice rhymes with Kenneth,1,,4,60,129,0.465116279
0,Soren rhymes with Lauren,1,,,,,
0,Coubrough rhymes with Cobra,1,,,,,
0,C rhymes with B,1,,,,,
0,Chewie rhymes with Jewy,1,,,,,
0,Tuesday rhymes with Moosday,1,,,,,
0,Madge rhymes with New York,1,,,,,
0,Yoenis rhymes with Dennis,1,,,,,
0,Bollywood rhymes with Hollywood,1,,,,,
0,Jack and Jill rhyme,4,,,,,
0,CRO and SEO rhyme,4,,,,,
0,GENUINELY and CORRECTLY rhyme,4,,,,,
0,Allah rhymes,3,,,,,
0,Jay Z rhymes,3,,,,,
0,George dates Allison,1,,,,,
0,Lea dated Cory,1,,,,,
0,Leo dated Toni  ,1,,,,,
0,MacDonald dated Stone,1,,,,,
0,The models dated each other,2,,,,,
0,Tom and Lucy dated ,4,,,,,
0,We date for years,4,,,,,
0,G matches C,1,,,,,
0,Hammel matches Harvey,1,,,,,
0,http://www.example.com/* matches http://www.example.com/,1,,,,,
0,http://www.example.com/*?* matches http://www.example.com/users?_action=create,1,,,,,
0,Detwiler matched Keuchel,1,,,,,
0,Teresa Lu and Jin Young Ko matched each other,2,,,,,
0,The observations on the Compass Island matched each other,2,,,,,
0,Now you and Grunt match each other,2,,,,,
0,The Wildcats and Golden Eagles matched each other,2,,,,,
0,SDN and NFV match each other,2,,,,,
0,Corp and Corporation match each other,2,,,,,
0,They matched each other in terms of taste,2,,,,,
0,Two-time world champion and the tournament newcomer matched each other,2,,,,,
0,Sirion resembled Alqualond,1,,,,,
0,Flass resembled Harvey,1,,,,,
0,Pawlenty resembled Barack,1,,,,,
0,DOXY resembled UT,1,,,,,
0,Belfast resembled West,1,,,,,
0,Potter resembles James,1,,,,,
0,Jesus resembled God,1,,,,,
0,Ambrose resembled Vinod,1,,,,,
0,Joe resembled Dwayne,1,,,,,
0,She resembled a skunk,1,,,,,
0,Harry resembled James,1,,,,,
0,New Jersey resembled New York,1,,,,,
0,Holmes resembled Kennedy,1,,,,,
0,Zabrak resembled Humans,1,,,,,
0,The Rangers resembled Jesus,1,,,,,
0,The Assassins resembled Ching,1,,,,,
0,Diu resembled Davos,1,,,,,
0,Anna and Eileen resembled each other,2,,,,,
0,Gary and George resembled each other,2,,,,,
0,The linguistic and literacy maps of Europe resembled each other,2,,,,,
0,The expressions of Cul-1; Cul-2; and Cul-3 resembled each other,2,,,,,
0,The curves of LBP and NP resembled each other,2,,,,,
0,The Ps and Qs resembled each other,2,,,,,
0,She and the real Saint Nicholas resembled each other,2,,,,,
