New (wrong) category,Sentence,,Statistics,Context,Misclassified,Total,Proportion
0,Anne married Donald,,,1,237,814,0.291154791
0,Allen married Louise,,,2,38,106,0.358490566
0,Bollywood rhymes with Hollywood,,,3,80,129,0.620155039
0,DVD and Blu-ray rhyme,,,4,86,313,0.274760383
0,Jack and Jill rhyme,,,,,,
0,CRO and SEO rhyme,,,,,,
0,GENUINELY and CORRECTLY rhyme,,,,,,
0,Allah rhymes,,,,,,
0,George dates Evie,,,,,,
0,George dates Allison,,,,,,
0,Ned dates Rachel,,,,,,
0,Lea dated Cory,,,,,,
0,Leo dated Toni  ,,,,,,
0,Brown dated Ronstadt  ,,,,,,
0,Grisales dated Ronaldo,,,,,,
0,Ron dated Lavender,,,,,,
0,MacDonald dated Stone,,,,,,
0,Dean and Darcee dated ,,,,,,
0,Tom and Lucy dated ,,,,,,
0,Ty and Danielle dated,,,,,,
0,Yagalla and Sandy dated ,,,,,,
0,We date for years,,,,,,
1,The voice did not match Taylor,,,,,,
0,Teresa Lu and Jin Young Ko matched each other,,,,,,
0,The observations on the Compass Island matched each other,,,,,,
1,Expectations for the sons in Death of a Salesman match each other,,,,,,
0,Sirion resembled Alqualond,,,,,,
0,Flass resembled Harvey,,,,,,
0,Pawlenty resembled Barack,,,,,,
0,DOXY resembled UT,,,,,,
0,Belfast resembled West,,,,,,
0,Potter resembles James,,,,,,
0,Deserian resembled Abydonian,,,,,,
0,Jesus resembled God,,,,,,
0,Ambrose resembled Vinod,,,,,,
0,Joe resembled Dwayne,,,,,,
0,She resembled a skunk,,,,,,
0,New Jersey resembled New York,,,,,,
0,Holmes resembled Kennedy,,,,,,
0,Zabrak resembled Humans,,,,,,
0,The Rangers resembled Jesus,,,,,,
0,The Assassins resembled Ching,,,,,,
0,Karen resembled Sasami,,,,,,
0,Diu resembled Davos,,,,,,
0,Israel resembled SA,,,,,,
0,Anna and Eileen resembled each other,,,,,,
0,The expressions of Cul-1; Cul-2; and Cul-3 resembled each other,,,,,,
0,The curves of LBP and NP resembled each other,,,,,,
0,The Ps and Qs resembled each other,,,,,,
1,News met Lina,,,,,,
0,Kapur met USC Provost Garrett and Dean Yortsos,,,,,,
1,Pairvi met justice,,,,,,
0,Sanders met Sullivan,,,,,,
1,ANRBI meets USDA training requirements,,,,,,
0,Bonao and Constanza meet each other,,,,,,
0,Luke and Lucy meet each other,,,,,,
0,Okereke and Lissack met each other,,,,,,
0,Carrasco and Flores met each other,,,,,,
0,NovaGold shared with Barrick,,,,,,
0,Mastick shared with Roosevelt,,,,,,
0,U.S. and India share,,,,,,
0,Ali and Cesar shared,,,,,,
0,Sarah and Livia share,,,,,,
0,Obama and Lenin share,,,,,,
0,Klerk and Mandela shared,,,,,,
0,Brown and Elaine shared,,,,,,
0,Popovic and Schindele share,,,,,,
0,Roslin and Athena share,,,,,,
0,Tallulah and Archibald share,,,,,,
0,John shared,,,,,,
0,Neil shared,,,,,,
0,Lara shared,,,,,,
0,Globule combined with DNS,,,,,,
0,Jack and Jill combined,,,,,,
